support,time
143,1567.396212999995
144,1616.9666069999948
145,1587.4266220000095
146,1579.3965119999598
147,1560.2682740000091
148,1548.7982980000083
149,1565.3455369999847
150,1576.394614000037
151,1572.9381310000008
152,1558.0716030000303
153,1582.9938229999811
154,1565.3084509999644
155,1550.9299180000085
156,1574.4515529999603
157,1582.707671000037
158,1567.8823619999775
159,1585.9359429999813
160,1569.2430749999744
161,1586.0135849999892
162,1584.29443
163,1566.499699000019
164,1572.4538509999775
165,1603.7918609999906
166,1596.3003200000117
167,1593.5257099999944
168,1559.5978800000125
169,1546.6201790000014
170,1580.5761049999774
171,1567.5393839999856
172,1620.6934919999867
173,1618.3650179999631
174,1565.8018360000483
175,1594.659904000025
176,1565.8308920000081
177,1569.237471000008
178,1570.9728879999716
179,1593.9723519999802
180,1622.4127350000117
181,1607.2423159999971
182,1585.3180489999659
183,1567.7944839999896
184,1570.4958940000324
185,1612.7818620000198
186,1579.6820620000176
187,1620.8166019999908
188,1561.0337850000064
189,1568.700186000001
190,1564.9317280000332
191,1573.2639479999762
192,1582.5543489999632
193,1563.7464919999502
194,1573.8031500000034
195,1587.608122000006
196,1564.5643569999947
197,1592.5495879999971
198,1574.366255999962
199,1574.9801320000074
200,1582.405599000026
201,1576.4469850000182
202,1567.9675769999903
203,1567.1828009999444
204,1566.133734999994
205,1590.8537159999696
206,1559.086423999986
207,1591.0880409999777
208,1580.1078110000049
209,1569.9488690000294
210,1561.3843340000244
211,1566.1559270000112
212,1563.4429109999815
213,1561.84813699997
214,1566.6294899999684
215,1588.5303509999744
216,1577.0628939999938
217,1580.2986369999985
218,1573.1773699999962
219,1569.5138450000172
220,1578.9667859999668
221,1561.032947000001
222,1560.1581799999735
223,1568.225679999955
224,1577.090376000001
225,1573.8935139999626
226,1575.0874739999858
227,1563.622376000012
228,1567.257966999989
229,1569.7834349999766
230,1564.637872999981
231,1552.5318169999878
232,1551.7902500000105
233,1578.850004000003
234,1577.1308670000508
235,1537.1398269999759
236,1552.0712249999633
237,1561.4224280000144
238,1579.5621920000258
239,1574.4232860000125
240,1580.6494369999768
241,1582.1016209999925
242,1551.8594470000266
243,1591.2009959999978
244,1581.6050659999519
245,1578.4660429999917
246,1564.0053710000075
247,1586.0365660000184
248,1577.0606910000424
249,1598.5175889999823
250,1555.3428950000239
251,1558.064724000019
252,1555.1168050000115
253,1575.0243569999611
254,1548.8757589999977
255,1558.9529399999833
256,1577.1901089999574
257,1568.8384919999976
258,1557.0261849999838
259,1584.6174839999776
260,1546.2055689999943
261,1558.9877080000178
262,1569.196992000002
263,1558.738906999963
264,1581.3762070000053
265,1582.3746659999642
266,1556.9961040000067
267,1657.7288740000427
268,1558.6731210000266
269,1561.6269260000308
270,1600.259372000039
271,1564.7858560000145
272,1579.1687029999366
273,1591.4810589999888
274,1576.7430319999676
275,1583.3560350000653
276,1560.4126990000395
277,1559.1437750000523
278,1559.7351369999615
279,1557.477480999978
280,1556.7856839999195
281,1608.0524700000751
282,1573.9508819999628
283,1572.6094469999907
284,1586.1641620000455
285,1552.226174999987
286,1561.5802439999698
287,1567.0265820000395
288,1544.169692999958
289,1560.719281000047
290,1551.914217999979
291,1568.3433949999426
292,1589.4507159999876
293,1581.2669169999936
294,1565.7304589999512
295,1566.7899540000008
296,1555.9631120000859
297,1577.2785460000023
298,1558.5286850000557
299,1573.0563160000202
300,1583.9787959999967
301,1575.2232869999716
302,1560.6668120000222
303,1588.203324999995
304,1568.4451050000234
305,1586.3310780000575
306,1555.0320780000675
307,1563.1541139999854
308,1566.0932729999786
309,1561.993937000011
310,1606.6367949999858
311,1551.3107880000234
